HumanEval/2	truncate_number
HumanEval/10	make_palindrome
HumanEval/11	string_xor
HumanEval/13	greatest_common_divisor
HumanEval/15	string_sequence
HumanEval/16	count_distinct_characters
HumanEval/18	how_many_times
HumanEval/23	strlen
HumanEval/24	largest_divisor
HumanEval/26	remove_duplicates
HumanEval/27	flip_case
HumanEval/28	concatenate
HumanEval/29	filter_by_prefix
HumanEval/30	get_positive
HumanEval/31	is_prime
HumanEval/32	find_zero
HumanEval/34	unique
HumanEval/35	max_element
HumanEval/36	fizz_buzz
HumanEval/38	decode_cyclic
HumanEval/39	prime_fib
HumanEval/40	triples_sum_to_zero
HumanEval/41	car_race_collision
HumanEval/42	incr_list
HumanEval/43	pairs_sum_to_zero
HumanEval/44	change_base
HumanEval/45	triangle_area
HumanEval/46	fib4
HumanEval/47	median
HumanEval/48	is_palindrome
HumanEval/49	modp
HumanEval/50	decode_shift
HumanEval/51	remove_vowels
HumanEval/52	below_threshold
HumanEval/53	add
HumanEval/55	fib
HumanEval/56	correct_bracketing
HumanEval/57	monotonic
HumanEval/58	common
HumanEval/59	largest_prime_factor
HumanEval/60	sum_to_n
HumanEval/61	correct_bracketing
HumanEval/62	derivative
HumanEval/63	fibfib
HumanEval/65	circular_shift
HumanEval/66	digitSum
HumanEval/68	pluck
HumanEval/72	will_it_fly
HumanEval/73	smallest_change
HumanEval/74	total_match
HumanEval/76	is_simple_power
HumanEval/78	hex_key
HumanEval/79	decimal_to_binary
HumanEval/80	is_happy
HumanEval/81	numerical_letter_grade
HumanEval/82	prime_length
HumanEval/83	starts_one_ends
HumanEval/84	solve
HumanEval/85	add
HumanEval/86	anti_shuffle
HumanEval/87	get_row
HumanEval/88	sort_array
HumanEval/89	encrypt
HumanEval/90	next_smallest
HumanEval/91	is_bored
HumanEval/92	any_int
HumanEval/93	encode
HumanEval/94	skjkasdkd
HumanEval/95	check_dict_case
HumanEval/96	count_up_to
HumanEval/97	multiply
HumanEval/98	count_upper
HumanEval/99	closest_integer
HumanEval/100	make_a_pile
HumanEval/101	words_string
HumanEval/102	choose_num
HumanEval/103	rounded_avg
HumanEval/104	unique_digits
HumanEval/105	by_length
HumanEval/106	f
HumanEval/107	even_odd_palindrome
HumanEval/108	count_nums
HumanEval/109	move_one_ball
HumanEval/110	exchange
HumanEval/111	histogram
HumanEval/112	reverse_delete
HumanEval/113	odd_count
HumanEval/114	minSubArraySum
HumanEval/115	max_fill
HumanEval/116	sort_array
HumanEval/117	select_words
HumanEval/118	get_closest_vowel
HumanEval/119	match_parens
HumanEval/120	maximum
HumanEval/121	solution
HumanEval/122	add_elements
HumanEval/123	get_odd_collatz
HumanEval/124	valid_date
HumanEval/125	split_words
HumanEval/126	is_sorted
HumanEval/127	intersection
HumanEval/128	prod_signs
HumanEval/129	minPath
HumanEval/130	tri
HumanEval/131	digits
HumanEval/132	is_nested
HumanEval/133	sum_squares
HumanEval/134	check_if_last_char_is_a_letter
HumanEval/135	can_arrange
HumanEval/136	largest_smallest_integers
HumanEval/137	compare_one
HumanEval/138	is_equal_to_sum_even
HumanEval/139	special_factorial
HumanEval/140	fix_spaces
HumanEval/141	file_name_check
HumanEval/142	sum_squares
HumanEval/143	words_in_sentence
HumanEval/144	simplify
HumanEval/145	order_by_points
HumanEval/146	specialFilter
HumanEval/147	get_max_triples
HumanEval/148	bf
HumanEval/149	sorted_list_sum
HumanEval/150	x_or_y
HumanEval/151	double_the_difference
HumanEval/152	compare
HumanEval/153	Strongest_Extension
HumanEval/154	cycpattern_check
HumanEval/155	even_odd_count
HumanEval/156	int_to_mini_roman
HumanEval/157	right_angle_triangle
HumanEval/158	find_max
HumanEval/159	eat
HumanEval/160	do_algebra
HumanEval/161	solve
HumanEval/162	string_to_md5
HumanEval/163	generate_integers
